μῆνιν|μῆνις
Ἀπόλλων|Ἀπόλλων
κατ̓|κατά
Οὐλύμποιο|Ὄλυμπος
καρήνων|κάρηνον
χωόμενος|χώομαι
κῆρ|κῆρ
τόξ̓|τόξον
ὤμοισιν|ὦμος
ἀμφηρεφέα|ἀμφηρεφής
φαρέτρην|φαρέτρα
ἔκλαγξαν|κλάζω
ἄῤ|ἄρα
ὀϊστοὶ|ὀιστός
ἐπ̓|ἐπί
ὤμων|ὦμος
χωομένοιο|χώομαι
αὐτοῦ|αὐτός
κινηθέντος|κινέω
ἤϊε|εἶμι
νυκτὶ|νύξ
ἐοικώς|ἔοικα
ἕζετ̓|ἕζομαι
νεῶν|ναῦς
μετὰ|μετά
ἰὸν|ἰός
ἕηκε|ἵημι
δεινὴ|δεινός
κλαγγὴ|κλαγγή
γένετ̓|γίγνομαι
ἀργυρέοιο|ἀργύρεος
βιοῖο|βιός
οὐρῆας|ὀρεύς
πρῶτον|πρῶτος
ἐπῴχετο|ἐποίχομαι
κύνας|κύων
ἀργούς|ἀργός
αὐτοῖσι|αὐτός
βέλος|βέλος
ἐχεπευκὲς|ἐχεπευκής
ἐφιεὶς|ἐφίημι
βάλλ̓|βάλλω
αἰεὶ|ἀεί
πυραὶ|πυρή
νεκύων|νέκυς
καίοντο|καίω
θαμειαί|θαμέες
ἐννῆμαρ|ἐννῆμαρ
ᾤχετο|οἴχομαι
κῆλα|κῆλον
δεκάτῃ|δέκατος
ἀγορὴν|ἀγορά
καλέσσατο|καλέω
λαὸν|λαός
φρεσὶ|φρήν
θῆκε|τίθημι
λευκώλενος|λευκώλενος
Ἥρη|Ἥρα
κήδετο|κήδω
Δαναῶν|Δαναοί
ῥα|ἄρα
θνήσκοντας|θνήσκω
ὁρᾶτο|ὁράω
ἤγερθεν|ἀγείρω
ὁμηγερέες|ὁμηγερής
γένοντο|γίγνομαι
ἀνιστάμενος|ἀνίστημι
μετέφη|μετάφημι
πόδας|πούς
ὠκὺς|ὠκύς
Ἀτρεΐδη|Ἀτρείδης
ἄμμε|ἐγώ
παλιμπλαγχθέντας|παλιμπλάζομαι
ὀΐω|οἴομαι
ἂψ|ἄψ
ἀπονοστήσειν|ἀπονοστέω
κεν|ἄν
θάνατόν|θάνατος
φύγοιμεν|φεύγω
ὁμοῦ|ὁμοῦ
πόλεμός|πόλεμος
δαμᾷ|δαμάζω
λοιμὸς|λοιμός
ἄγε|ἄγε
μάντιν|μάντις
ἐρείομεν|ἐρέω
ὀνειροπόλον|ὀνειροπόλος
ὄναρ|ὄναρ
Διός|Ζεύς
ἐστιν|εἰμί
κ̓|ἄν
εἴποι|εἶπον
τόσσον|τόσος
ἐχώσατο|χώομαι
εἴτ̓|εἴτε
γ̓|γε
εὐχωλῆς|εὐχωλή
ἐπιμέμφεται|ἐπιμέμφομαι
ἑκατόμβης|ἑκατόμβη
αἴ|εἰ
κέν|ἄν
πως|πως
ἀρνῶν|ἀρνός
κνίσης|κνῖσα
τελείων|τέλειος
βούλεται|βούλομαι
ἀντιάσας|ἀντιάω
ἡμῖν|ἐγώ
ἀπὸ|ἀπό
λοιγὸν|λοιγός
ἀμῦναι|ἀμύνω
ἤτοι|ἤτοι
εἰπὼν|εἶπον
ἕζετο|ἕζομαι
ἀνέστη|ἀνίστημι
Κάλχας|Κάλχας
Θεστορίδης|Θεστορίδης
οἰωνοπόλων|οἰωνοπόλος
ὄχ̓|ὄχα
ἄριστος|ἄριστος
ᾔδη|οἶδα
ἐόντα|εἰμί
ἐσσόμενα|εἰμί
πρό|πρό
νήεσσ̓|ναῦς
ἡγήσατ̓|ἡγέομαι
Ἴλιον|Ἴλιος
εἴσω|εἴσω
ἣν|ἑός
διὰ|διά
μαντοσύνην|μαντοσύνη
πόρε|πόρω
σφιν|σφεῖς
ἐὺ|εὖ
φρονέων|φρονέω
ἀγορήσατο|ἀγοράομαι
μετέειπεν|μετεῖπον
Ἀχιλεῦ|Ἀχιλλεύς
κέλεαί|κέλομαι
με|ἐγώ
Διῒ|Ζεύς
φίλε|φίλος
μυθήσασθαι|μυθέομαι
ἑκατηβελέταο|ἑκατηβελέτης
ἄνακτος|ἄναξ
τοὶ|σύ
ἐγὼν|ἐγώ
ἐρέω|ἐρῶ
σὺ|σύ
σύνθεο|συντίθημι
ὄμοσσον|ὄμνυμι
ἦ|ἦ
πρόφρων|πρόφρων
ἔπεσιν|ἔπος
ἀρήξειν|ἀρήγω
ὀΐομαι|οἴομαι
ἄνδρα|ἀνήρ
χολωσέμεν|χολόω
μέγα|μέγας
πάντων|πᾶς
Ἀργείων|Ἀργεῖος
κρατέει|κρατέω
πείθονται|πείθω
κρείσσων|κρείσσων
βασιλεὺς|βασιλεύς
ὅτε|ὅτε
χώσεται|χώομαι
ἀνδρὶ|ἀνήρ
χέρηϊ|χερείων
περ|πέρ
χόλον|χόλος
αὐτῆμαρ|αὐτῆμαρ
καταπέψῃ|καταπέσσω
μετόπισθεν|μετόπισθε
ἔχει|ἔχω
κότον|κότος
ὄφρα|ὄφρα
τελέσσῃ|τελέω
στήθεσσιν|στῆθος
ἑοῖσι|ἑός
φράσαι|φράζω
σαώσεις|σώζω
ἀπαμειβόμενος|ἀπαμείβομαι
προσέφη|πρόσφημι
θαρσήσας|θαρσέω
μάλα|μάλα
εἰπὲ|εἶπον
θεοπρόπιον|θεοπρόπιον
οἶσθα|οἶδα
μὰ|μά
φίλον|φίλος
ᾧ|ὅς
Κάλχαν|Κάλχας
Δαναοῖσι|Δαναοί
θεοπροπίας|θεοπροπία
ἀναφαίνεις|ἀναφαίνω
οὔ|οὐ
ἐμεῦ|ἐγώ
ζῶντος|ζάω
χθονὶ|χθών
δερκομένοιο|δέρκομαι
σοὶ|σύ
κοίλῃς|κοῖλος
νηυσί|ναῦς
βαρείας|βαρύς
χεῖρας|χείρ
ἐποίσει|ἐπιφέρω
συμπάντων|σύμπας
ἢν|ἐάν
Ἀγαμέμνονα|Ἀγαμέμνων
εἴπῃς|εἶπον
πολλὸν|πολύς
εὔχεται|εὔχομαι
εἶναι|εἰμί
τότε|τότε
θάρσησε|θαρσέω
ηὔδα|αὐδάω
μάντις|μάντις
ἀμύμων|ἀμύμων
ἕνεκ̓|ἕνεκα
ἀρητῆρος|ἀρητήρ
ὃν|ὅς
ἠτίμησ̓|ἀτιμάω
Ἀγαμέμνων|Ἀγαμέμνων
ἀπέλυσε|ἀπολύω
ἀπεδέξατ̓|ἀποδέχομαι
τοὔνεκ̓|τοὔνεκα
ἔδωκεν|δίδωμι
ἑκηβόλος|ἑκηβόλος
δώσει|δίδωμι
πρὶν|πρίν
Δαναοῖσιν|Δαναοί
ἀεικέα|ἀεικής
ἀπώσει|ἀπωθέω
πατρὶ|πατήρ
φίλῳ|φίλος
δόμεναι|δίδωμι
ἑλικώπιδα|ἑλικῶπις
κούρην|κόρη
ἀπριάτην|ἀπρίατος
ἀνάποινον|ἀνάποινος
ἄγειν|ἄγω
ἱερὴν|ἱερός
ἑκατόμβην|ἑκατόμβη
ἐς|εἰς
ἱλασσάμενοι|ἱλάομαι
πεπίθοιμεν|πείθω
ἥρως|ἥρως
εὐρὺ|εὐρύς
κρείων|κρείων
ἀχνύμενος|ἀχεύω
μένεος|μένος
φρένες|φρήν
ἀμφιμέλαιναι|ἀμφιμέλας
πίμπλαντ̓|πίμπλημι
ὄσσε|ὄσσε
πυρὶ|πῦρ
λαμπετόωντι|λαμπετάω
ἐΐκτην|ἔοικα
Κάλχαντα|Κάλχας
πρώτιστα|πρώτιστος
κάκ̓|κακός
ὀσσόμενος|ὄσσομαι
προσέειπε|προσεῖπον
μάντι|μάντις
κακῶν|κακός
πώ|πω
κρήγυον|κρήγυος
εἶπας|εἶπον
αἰεί|ἀεί
ἐστὶ|εἰμί
φίλα|φίλος
μαντεύεσθαι|μαντεύομαι
ἐσθλὸν|ἐσθλός
οὔτέ|οὔτε
πω|πω
ἔπος|ἔπος
ἐτέλεσσας|τελέω
θεοπροπέων|θεοπροπέω
ἀγορεύεις|ἀγορεύω
τοῦδ̓|ὅδε
ἕνεκά|ἕνεκα
ἄλγεα|ἄλγος
